Neuron 1,Neuron 2,Pearson Correlation,P-Value
AIBL,AIBR,0.9371802785146646,0.0
AIBL,AVEL,0.7764029487375058,0.0
AIBL,AVER,0.7713564677330766,0.0
AIBR,AVAL,0.8114371052156878,0.0
AIBR,AVER,0.8621958036991619,0.0
AINL,ASKR,0.7710965852664378,1.31980353e-315
ASGL,ASGR,0.8388202318975984,0.0
I5,M1,0.6930077421312669,2.357000892663896e-229
I5,M5,0.8486210549828669,0.0
I5,URAVR,0.7764961507644352,8e-323
M1,URAVR,0.6589364579342897,7.248729246317101e-200
NSML,NSMR,0.8566061225202175,0.0
OLQDR,OLQVR,0.7974028973686467,0.0
RIFR,RMGL,0.6855667523195909,1.4420760278173922e-222
RIML,RIMR,0.9730847571568811,0.0
SMBDL,SMBDR,0.8099110255974679,0.0
SMBVL,SMBVR,0.8301369501295003,0.0
